Welcome to the profile statistics browser.
profile.txt% profile.txt% Tue Sep 29 15:08:21 2020    profile.txt

         4711831 function calls (4499771 primitive calls) in 36.976 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/inline_closurecall.py:906(_inline_arraycall)
       15    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/codegen.py:707(_pass_manager_builder)
      872    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
        3    0.000    0.000    0.001    0.000 /usr/lib64/python3.8/gettext.py:579(translation)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.8/site-packages/pkg_resources/_vendor/pyparsing.py:3353(setResultsName)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/pandas/core/base.py:592(IndexOpsMixin)
      285    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/types.py:513(gep)
        9    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/torch/_torch_docs.py:9(parse_kwargs)
      149    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/values.py:554(__init__)
      298    0.001    0.000    0.001    0.000 /usr/lib64/python3.8/typing.py:532(__hash__)
        5    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/transforms.py:503(find_ranges)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/torch/distributions/lowrank_multivariate_normal.py:1(<module>)
      753    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
        3    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/series.py:4391(reindex)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/numba/core/callconv.py:573(fp_zero_division)
       38    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/compiler_machinery.py:392(make_festive)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/numba/core/ir.py:25(Loc)
      818    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/datamodel/models.py:218(get_value_type)
        3    0.000    0.000    0.001    0.000 /usr/lib64/python3.8/gettext.py:538(find)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/numpy/core/_methods.py:1(<module>)
      902    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/binding/ffi.py:276(_dispose)
        9    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/base.py:743(to_numpy)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/pandas/core/indexes/accessors.py:1(<module>)
       19    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/types.py:507(format_constant)
      841    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/types/misc.py:163(key)
      335    0.001    0.000    0.001    0.000 /usr/lib/python3.8/site-packages/pkg_resources/_vendor/pyparsing.py:1144(__init__)
       58    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/byteflow.py:1399(__init__)
        3    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/generic.py:4211(reindex)
        5    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/interpreter.py:174(init_first_block)
       84    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/typing/setdecl.py:157(generic)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/numba/core/boxing.py:1(<module>)
       12    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/lowering.py:686(normal_handler)
        9    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/dtypes/common.py:595(condition)
      753    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/ssa.py:324(<listcomp>)
      671    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/types.py:205(__new__)
      170    0.000    0.000    0.001    0.000 /usr/lib/python3.8/site-packages/pkg_resources/_vendor/pyparsing.py:3439(<genexpr>)
        1    0.000    0.000    0.001    0.001 /usr/lib64/python3.8/difflib.py:1(<module>)
      701    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/types.py:347(__init__)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/torch/nn/modules/container.py:235(ModuleDict)
      749    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/types.py:354(__getitem__)
       50    0.001    0.000    0.001    0.000 /usr/lib64/python3.8/weakref.py:517(__init__)
       83    0.000    0.000    0.001    0.000 /usr/lib64/python3.8/weakref.py:395(__setitem__)
        5    0.001    0.000    0.001    0.000 /usr/lib64/python3.8/dis.py:430(findlabels)
      679    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/analysis.py:182(<genexpr>)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/numba/core/typing/npydecl.py:407(register_number_classes)
       43    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/byteflow.py:320(op_STORE_FAST)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/numba/core/runtime/nrtdynmod.py:43(_define_nrt_incref)
        6    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/torch/nn/modules/module.py:202(__init__)
        3    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/internals/managers.py:1843(_stack_arrays)
        9    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/dtypes/common.py:598(is_excluded_dtype)
      127    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/indexes/extension.py:21(inherit_from_data)
   148/34    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/datamodel/models.py:102(traverse_types)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/pandas/core/arrays/categorical.py:204(Categorical)
        2    0.000    0.000    0.001    0.000 /usr/lib64/python3.8/traceback.py:27(format_list)
       15    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/llvmpy/passes.py:33(create_pass_manager_builder)
        4    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/pythonapi.py:229(incref)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/pandas/core/indexes/datetimelike.py:78(DatetimeIndexOpsMixin)
      112    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/module.py:7(__init__)
      580    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/base.py:41(__init__)
       71    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/byteflow.py:1258(fork)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/torch/nn/intrinsic/modules/__init__.py:2(<module>)
        4    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/pythonapi.py:866(gil_release)
      212    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/typeinfer.py:1201(<genexpr>)
        1    0.000    0.000    0.001    0.001 /usr/lib64/python3.8/distutils/version.py:267(LooseVersion)
      232    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/typing/templates.py:275(get_impl_key)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/numba/core/typing/mathdecl.py:129(Math_frexp)
       57    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      696    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/inline_closurecall.py:1453(<listcomp>)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/numba/core/object_mode_passes.py:1(<module>)
        5    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/inline_closurecall.py:825(_find_arraycall)
       27    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/torch/distributions/utils.py:95(__init__)
        4    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/runtime/context.py:165(meminfo_data)
      105    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/datamodel/manager.py:16(register)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/pandas/core/groupby/grouper.py:1(<module>)
        4    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/pythonapi.py:331(err_write_unraisable)
        6    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/dtypes/missing.py:358(array_equivalent)
       12    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/generic.py:11431(_make_stat_function)
       43    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/ir.py:420(call)
        4    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numpy/ma/core.py:115(doc_note)
        1    0.000    0.000    0.001    0.001 /usr/lib64/python3.8/asyncio/sslproto.py:1(<module>)
      658    0.001    0.000    0.001    0.000 {built-in method torch._C._add_docstr}
      148    0.001    0.000    0.001    0.000 /usr/lib64/python3.8/site-packages/cffi/api.py:952(_builtin_function_type)
        3    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/computation/expr.py:268(disallowed)
        4    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/pythonapi.py:1131(string_from_string)
       67    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/values.py:194(__init__)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/pandas/io/pytables.py:450(HDFStore)
       12    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/cpython/numbers.py:355(int_eq_impl)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1287(_legacy_get_spec)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/numba/experimental/jitclass/base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib64/python3.8/unittest/loader.py:1(<module>)
       33    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/utils.py:493(unified_function_type)
        3    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/nanops.py:396(nanany)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/llvmlite/binding/targets.py:1(<module>)
        8    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/generic.py:11496(_make_cum_function)
      248    0.001    0.000    0.001    0.000 /usr/lib64/python3.8/inspect.py:513(_is_wrapper)
       91    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/binding/targets.py:150(get_pointee_abi_size)
      168    0.001    0.000    0.001    0.000 /usr/lib64/python3.8/ctypes/__init__.py:390(__getitem__)
       16    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/byteflow.py:555(_op_POP_JUMP_IF)
        2    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/torch/distributed/rpc/backend_registry.py:47(register_backend)
      764    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/torch/jit/_builtins.py:105(_is_special_functional_bound_op)
       16    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/ops/__init__.py:327(_arith_method_SERIES)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/site-packages/dateutil/parser/isoparser.py:2(<module>)
       24    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/types/iterators.py:82(<genexpr>)
      701    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/ir.py:829(get_targets)
      792    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
      101    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/itanium_mangler.py:116(_len_encoded)
        4    0.000    0.000    0.001    0.000 /usr/lib64/python3.8/re.py:223(split)
      123    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/compiler_lock.py:16(__enter__)
       12    0.000    0.000    0.001    0.000 /usr/lib64/python3.8/datetime.py:488(__new__)
       14    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/binding/module.py:138(data_layout)
       20    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/types/scalars.py:41(from_bitwidth)
        1    0.000    0.000    0.001    0.001 /usr/lib64/python3.8/unittest/result.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/numba/core/types/functions.py:1(<module>)
       36    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/dtypes/common.py:603(<genexpr>)
        8    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/typing/typeof.py:214(_typeof_ndarray)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/numba/cpython/setobj.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/scipy/sparse/lil.py:1(<module>)
       52    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numpy/ma/core.py:895(__init__)
      749    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/interpreter.py:346(current_scope)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/numpy/ma/extras.py:1(<module>)
      123    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/compiler_lock.py:19(__exit__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/site-packages/dateutil/parser/isoparser.py:42(isoparser)
      732    0.001    0.000    0.001    0.000 /usr/lib/python3.8/site-packages/pkg_resources/_vendor/packaging/version.py:332(_parse_local_version)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/site-packages/ply/yacc.py:62(<module>)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/numba/core/imputils.py:1(<module>)
        3    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/pythonapi.py:1370(c_api_error)
       17    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/arrays/sparse/array.py:1399(_create_arithmetic_method)
       30    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numpy/core/getlimits.py:41(<lambda>)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/pandas/io/pytables.py:3200(Table)
      757    0.001    0.000    0.001    0.000 /usr/lib64/python3.8/inspect.py:2539(kind)
    13/11    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/datamodel/models.py:703(inner_types)
      734    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_iscased}
      239    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/byteflow.py:1188(pop)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/pandas/io/formats/format.py:450(TableFormatter)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/numba/core/typeconv/castgraph.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/pandas/core/dtypes/base.py:18(ExtensionDtype)
      190    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/typing/npydecl.py:160(ufunc)
        6    0.000    0.000    0.001    0.000 /usr/lib64/python3.8/argparse.py:2084(_match_argument)
        3    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/util/_decorators.py:306(decorate)
      701    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/pandas/io/pickle.py:1(<module>)
      696    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/debuginfo.py:55(mark_location)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/torch/distributed/rpc/internal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/types.py:1(<module>)
       99    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/_utils.py:76(<listcomp>)
        5    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/compiler.py:485(define_nopython_lowering_pipeline)
        1    0.000    0.000    0.001    0.001 /usr/lib64/python3.8/lzma.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib64/python3.8/csv.py:2(<module>)
       14    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/typing/context.py:625(unify_types)
        1    0.000    0.000    0.001    0.001 /usr/lib64/python3.8/xml/parsers/expat.py:1(<module>)
       55    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/types/functions.py:494(__init__)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/pandas/core/computation/scope.py:1(<module>)
      134    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/instructions.py:26(module)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/pandas/core/groupby/ops.py:66(BaseGrouper)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/scipy/sparse/sputils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/pandas/io/gbq.py:1(<module>)
       13    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/torch/autograd/grad_mode.py:8(__call__)
       16    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/arrays/integer.py:583(_create_arithmetic_method)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/torch/nn/modules/container.py:485(ParameterDict)
        3    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/nanops.py:237(_get_values)
      228    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/typeinfer.py:138(append)
        6    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/byteflow.py:906(op_FOR_ITER)
      152    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/computation/expr.py:171(<lambda>)
      171    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/analysis.py:200(fix_point_progress)
        6    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/types/containers.py:247(unify)
       69    0.000    0.000    0.001    0.000 /usr/lib/python3.8/site-packages/pkg_resources/_vendor/pyparsing.py:2412(__init__)
        1    0.000    0.000    0.001    0.001 /usr/lib64/python3.8/queue.py:1(<module>)
        8    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/module.py:151(declare_intrinsic)
       30    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/np/npyimpl.py:500(register_binary_operator_kernel)
        3    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/util/_decorators.py:276(decorate)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.8/site-packages/pkg_resources/_vendor/pyparsing.py:1877(__mul__)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/pandas/io/excel/_odswriter.py:12(_ODSWriter)
       14    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/typing/npydecl.py:382(_numpy_redirect)
        9    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/np/arrayobj.py:124(load_item)
        6    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/generic.py:4444(<genexpr>)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/torch/nn/modules/rnn.py:416(LSTM)
        3    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/cpython/rangeobj.py:218(make_range_attr)
      219    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/types/abstract.py:27(_on_type_disposal)
        5    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/typeinfer.py:1354(get_return_type)
      667    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/typeinfer.py:113(defined)
       38    0.000    0.000    0.001    0.000 /usr/lib/python3.8/site-packages/pkg_resources/_vendor/pyparsing.py:4230(__init__)
       30    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/dtypes/common.py:381(is_datetime64tz_dtype)
       18    0.000    0.000    0.001    0.000 /usr/lib/python3.8/site-packages/pkg_resources/__init__.py:2103(safe_listdir)
      116    0.000    0.000    0.001    0.000 /usr/lib64/python3.8/sre_parse.py:1054(expand_template)
       17    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/types/containers.py:290(__init__)
        1    0.000    0.000    0.001    0.001 /usr/lib64/python3.8/encodings/__init__.py:70(search_function)
       42    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numpy/core/_dtype.py:321(_name_get)
       12    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/datamodel/packer.py:190(unflatten)
      668    0.001    0.000    0.001    0.000 {method 'update' of 'set' objects}
        8    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/base.py:531(get_constant_undef)
        4    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/indexes/base.py:5372(_add_numeric_methods)
       19    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/types.py:508(<listcomp>)
       21    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/types/common.py:48(__init__)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/numba/core/ccallback.py:1(<module>)
        3    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/indexes/base.py:4271(identical)
        5    0.000    0.000    0.001    0.000 /usr/lib64/python3.8/enum.py:790(_missing_)
        9    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/base.py:504(unpack_value)
        1    0.000    0.000    0.001    0.001 /usr/lib64/python3.8/code.py:1(<module>)
      112    0.000    0.000    0.001    0.000 /usr/lib/python3.8/site-packages/pkg_resources/__init__.py:1890(has_metadata)
        2    0.000    0.000    0.001    0.000 /usr/lib64/python3.8/textwrap.py:381(fill)
        1    0.000    0.000    0.001    0.001 /usr/lib64/python3.8/email/encoders.py:5(<module>)
      184    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/llvmpy/core.py:65(int)
       51    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/dtypes/common.py:194(is_object_dtype)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/pandas/util/_decorators.py:11(deprecate)
        2    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/runtime/nrtdynmod.py:108(_define_atomic_inc_dec)
        5    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/byteflow.py:180(find_use_defs)
        2    0.000    0.000    0.001    0.000 /usr/lib64/python3.8/traceback.py:388(format)
      603    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/torch/utils/data/_utils/worker.py:1(<module>)
       40    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/typing/builtins.py:913(generic)
       64    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/typing/typeof.py:116(_typeof_int)
       10    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/base.py:350(subtarget)
        1    0.000    0.000    0.001    0.001 /usr/lib64/python3.8/struct.py:3(<module>)
       60    0.000    0.000    0.001    0.000 /usr/lib/python3.8/site-packages/pkg_resources/_vendor/pyparsing.py:420(__setitem__)
      191    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/typing/context.py:483(insert_attributes)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/numba/cpython/tupleobj.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/torch/distributions/beta.py:1(<module>)
        2    0.000    0.000    0.001    0.000 /usr/lib64/python3.8/textwrap.py:356(fill)
        4    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/cpython/tupleobj.py:348(static_getitem_tuple)
      129    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/binding/context.py:13(__init__)
      161    0.000    0.000    0.001    0.000 /usr/lib/python3.8/site-packages/pkg_resources/__init__.py:2410(__init__)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/numba/core/externals.py:108(install)
        2    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/ir.py:921(infer_constant)
        6    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numpy/core/numeric.py:2446(extend_all)
      344    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/datamodel/models.py:485(<listcomp>)
      262    0.001    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/_utils.py:9(__init__)
        5    0.000    0.000    0.001    0.000 /usr/lib64/python3.8/enum.py:797(_create_pseudo_member_)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/torch/utils/__init__.py:1(<module>)
      138    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/llvmlite/binding/module.py:52(__init__)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/numba/core/externals.py:124(_do_install)
        1    0.000    0.000    0.001    0.001 /usr/local/lib64/python3.8/site-packages/pandas/core/arrays/datetimelike.py:273(TimelikeOps)
        5    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/compiler.py:282(_make_subtarget)
      146    0.000    0.000    0.001    0.000 /usr/lib64/python3.8/codecs.py:319(decode)
     12/2    0.000    0.000    0.001    0.000 /usr/lib/python3.8/site-packages/pkg_resources/_vendor/pyparsing.py:1926(makeOptionalList)
        9    0.000    0.000    0.001    0.000 /usr/local/lib64/python3.8/site-packages/pandas/core/internals/managers.py:984(iget)
       43    0.000    0.000    0.001    0.000 /usr/lib64/python3.8/typing.py:839(<genexpr>)
        2    0.000    0.000    0.001    0.000 /usr/lib64/python3.8/textwrap.py:342(wrap)
      643    0.001    0.000    0.001    0.000 /usr/lib64/python3.8/inspect.py:2531(default)
