Welcome to the profile statistics browser.
profile.txt% profile.txt% Tue Sep 29 15:08:21 2020    profile.txt

         4711831 function calls (4499771 primitive calls) in 36.976 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      5/4    0.000    0.000    1.216    0.304 /usr/local/lib64/python3.8/site-packages/numba/core/typeinfer.py:1052(propagate)
    13/11    0.004    0.000    1.215    0.110 /usr/local/lib64/python3.8/site-packages/numba/core/typeinfer.py:141(propagate)
  238/169    0.016    0.000    1.174    0.007 /usr/local/lib64/python3.8/site-packages/numba/core/types/functions.py:280(get_call_type)
    58248    1.156    0.000    1.156    0.000 {built-in method embedding}
     8712    0.059    0.000    1.135    0.000 /usr/local/lib64/python3.8/site-packages/torch/optim/sparse_adam.py:75(make_sparse)
        5    0.000    0.000    1.084    0.217 /usr/local/lib64/python3.8/site-packages/numba/core/lowering.py:182(lower_normal_function)
  202/160    0.004    0.000    1.082    0.007 /usr/local/lib64/python3.8/site-packages/numba/core/typeinfer.py:568(resolve)
  236/176    0.001    0.000    1.079    0.006 /usr/local/lib64/python3.8/site-packages/numba/core/typing/context.py:187(resolve_function_type)
  236/176    0.002    0.000    1.072    0.006 /usr/local/lib64/python3.8/site-packages/numba/core/typing/context.py:231(_resolve_user_function_type)
        5    0.000    0.000    1.064    0.213 /usr/local/lib64/python3.8/site-packages/numba/core/lowering.py:196(lower_function_body)
       56    0.005    0.000    1.061    0.019 /usr/local/lib64/python3.8/site-packages/numba/core/lowering.py:220(lower_block)
  202/160    0.001    0.000    1.059    0.007 /usr/local/lib64/python3.8/site-packages/numba/core/typeinfer.py:1498(resolve_call)
     8712    1.052    0.000    1.052    0.000 {method 'new' of 'torch._C._TensorBase' objects}
1650/1145    0.010    0.000    1.043    0.001 /usr/local/lib64/python3.8/site-packages/numba/core/typing/templates.py:343(apply)
      696    0.012    0.000    1.029    0.001 /usr/local/lib64/python3.8/site-packages/numba/core/lowering.py:321(lower_inst)
    19416    0.279    0.000    0.946    0.000 /usr/local/lib64/python3.8/site-packages/torch/functional.py:1005(norm)
   102/76    0.002    0.000    0.891    0.012 /usr/local/lib64/python3.8/site-packages/numba/core/typeinfer.py:558(__call__)
  586/468    0.002    0.000    0.848    0.002 /usr/local/lib64/python3.8/site-packages/numba/core/typing/templates.py:592(generic)
  586/468    0.003    0.000    0.841    0.002 /usr/local/lib64/python3.8/site-packages/numba/core/typing/templates.py:669(_get_impl)
        7    0.000    0.000    0.831    0.119 /usr/local/lib64/python3.8/site-packages/numba/core/types/functions.py:504(get_call_type)
    59/47    0.001    0.000    0.831    0.018 /usr/local/lib64/python3.8/site-packages/numba/core/typing/templates.py:682(_build_impl)
        7    0.000    0.000    0.830    0.119 /usr/local/lib64/python3.8/site-packages/numba/core/dispatcher.py:297(get_call_template)
     1602    0.046    0.000    0.786    0.000 /home/alkis/Code/pytorch_kge/negative_samplers.py:16(__call__)
     2904    0.772    0.000    0.772    0.000 {method 'coalesce' of 'torch._C._TensorBase' objects}
        1    0.003    0.003    0.744    0.744 /usr/local/lib64/python3.8/site-packages/torch/__init__.py:2(<module>)
       55    0.003    0.000    0.737    0.013 /usr/local/lib64/python3.8/site-packages/numba/core/postproc.py:68(run)
        1    0.000    0.000    0.650    0.650 /usr/local/lib64/python3.8/site-packages/numba/core/config.py:1(<module>)
  456/274    0.002    0.000    0.638    0.002 /usr/local/lib64/python3.8/site-packages/numba/core/utils.py:346(__get__)
   408066    0.508    0.000    0.594    0.000 {built-in method builtins.isinstance}
     7499    0.591    0.000    0.591    0.000 {built-in method where}
        1    0.000    0.000    0.573    0.573 /usr/local/lib64/python3.8/site-packages/llvmlite/binding/__init__.py:1(<module>)
       14    0.000    0.000    0.572    0.041 /usr/local/lib64/python3.8/site-packages/numba/core/codegen.py:199(add_ir_module)
      305    0.003    0.000    0.571    0.002 /usr/local/lib64/python3.8/site-packages/numba/core/lowering.py:492(lower_assign)
   491942    0.556    0.000    0.556    0.000 {method 'values' of 'collections.OrderedDict' objects}
     5808    0.552    0.000    0.552    0.000 {method 'sparse_mask' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.546    0.546 /usr/local/lib64/python3.8/site-packages/llvmlite/binding/dylib.py:1(<module>)
        1    0.000    0.000    0.545    0.545 /usr/local/lib64/python3.8/site-packages/llvmlite/binding/ffi.py:1(<module>)
        1    0.000    0.000    0.539    0.539 /usr/lib/python3.8/site-packages/pkg_resources/__init__.py:2(<module>)
45567/8924    0.319    0.000    0.537    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/ir.py:313(_rec_list_vars)
        1    0.000    0.000    0.521    0.521 /home/alkis/Code/pytorch_kge/graph5.py:1(<module>)
        1    0.000    0.000    0.497    0.497 /usr/local/lib64/python3.8/site-packages/pandas/__init__.py:3(<module>)
    19416    0.484    0.000    0.484    0.000 {built-in method frobenius_norm}
      117    0.001    0.000    0.478    0.004 /usr/local/lib64/python3.8/site-packages/numba/core/lowering.py:1001(lower_expr)
     7216    0.018    0.000    0.464    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/ir.py:346(list_vars)
      112    0.001    0.000    0.455    0.004 /usr/local/lib64/python3.8/site-packages/llvmlite/ir/module.py:233(__repr__)
